,id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores,home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores,away_post_win_prob,excitement_index
28,212440061,2001,2,regular,2001-09-01T13:00:00.000Z,,False,False,86520.0,3917.0,Sanford Stadium,61,Georgia,SEC,45,"[14, 7, 10, 14]",,2032,Arkansas State,Sun Belt,17,"[0, 7, 3, 7]",,
29,212440309,2001,2,regular,2001-09-01T15:00:00.000Z,,False,False,13707.0,3666.0,Cajun Field,309,Louisiana,Sun Belt,20,[],,2447,Nicholls,,0,[],,
30,212440025,2001,2,regular,2001-09-01T15:30:00.000Z,,False,True,38160.0,3831.0,California Memorial Stadium,25,California,Pac-10,17,"[0, 7, 10, 0]",,356,Illinois,Big Ten,44,"[17, 21, 3, 3]",,
31,212440130,2001,2,regular,2001-09-01T15:30:00.000Z,,False,False,109676.0,3558.0,Michigan Stadium,130,Michigan,Big Ten,31,"[10, 7, 0, 14]",,193,Miami (OH),Mid-American,13,"[0, 6, 0, 7]",,
32,212440036,2001,2,regular,2001-09-01T15:30:00.000Z,,False,False,75022.0,,,36,Colorado State,Mountain West,14,"[7, 0, 0, 7]",,38,Colorado,Big 12,41,"[14, 3, 14, 10]",,
33,212442005,2001,2,regular,2001-09-01T15:30:00.000Z,,False,False,56162.0,3713.0,Falcon Stadium,2005,Air Force,Mountain West,3,"[0, 3, 0, 0]",,201,Oklahoma,Big 12,44,"[7, 13, 0, 24]",,
34,212442751,2001,2,regular,2001-09-01T16:00:00.000Z,,False,False,14167.0,3984.0,War Memorial Stadium,2751,Wyoming,Mountain West,20,[],,231,Furman,,14,[],,
35,212442633,2001,2,regular,2001-09-01T16:00:00.000Z,,False,False,107725.0,3853.0,Neyland Stadium,2633,Tennessee,SEC,33,"[7, 5, 7, 14]",,183,Syracuse,Big East,9,"[0, 0, 3, 6]",,
36,212440258,2001,2,regular,2001-09-01T16:30:00.000Z,,False,True,56591.0,3923.0,Scott Stadium,258,Virginia,ACC,17,"[0, 7, 10, 0]",,257,Richmond,,16,"[0, 0, 7, 9]",,
37,212440002,2001,2,regular,2001-09-01T17:00:00.000Z,,False,False,82376.0,3785.0,Jordan-Hare Stadium,2,Auburn,SEC,30,"[10, 14, 3, 3]",,2050,Ball State,Mid-American,0,"[0, 0, 0, 0]",,
38,212440150,2001,2,regular,2001-09-01T18:00:00.000Z,,False,True,23312.0,3982.0,Wallace Wade Stadium,150,Duke,ACC,13,"[6, 0, 7, 0]",,52,Florida State,ACC,55,"[0, 31, 14, 10]",,
39,212440059,2001,2,regular,2001-09-01T18:00:00.000Z,,False,False,41804.0,721.0,Bobby Dodd Stadium at Historic Grant Field,59,Georgia Tech,ACC,35,"[21, 7, 0, 7]",,2643,The Citadel,,7,"[0, 0, 0, 7]",,
40,212442199,2001,2,regular,2001-09-01T18:00:00.000Z,,False,False,16428.0,3912.0,Rynearson Stadium,2199,Eastern Michigan,Mid-American,16,[],,2546,Southeast Missouri State,,12,[],,
41,212440221,2001,2,regular,2001-09-01T18:00:00.000Z,,False,False,47919.0,,,221,Pittsburgh,Big East,31,"[14, 0, 7, 10]",,2193,East Tennessee State,,0,"[0, 0, 0, 0]",,
42,212440030,2001,2,regular,2001-09-01T18:30:00.000Z,,False,False,45568.0,477.0,Los Angeles Memorial Coliseum,30,USC,Pac-10,21,"[7, 7, 0, 7]",,23,San José State,Western Athletic,10,"[0, 3, 0, 7]",,
43,212442579,2001,2,regular,2001-09-01T19:00:00.000Z,,False,False,83019.0,3994.0,Williams-Brice Stadium,2579,South Carolina,SEC,32,"[13, 6, 7, 6]",,68,Boise State,Western Athletic,13,"[0, 7, 0, 6]",,
44,212440251,2001,2,regular,2001-09-01T19:00:00.000Z,,False,False,82856.0,3910.0,Darrell K Royal-Texas Memorial Stadium,251,Texas,Big 12,41,"[14, 10, 3, 14]",,166,New Mexico State,Sun Belt,7,"[0, 0, 7, 0]",,
45,212442433,2001,2,regular,2001-09-01T19:00:00.000Z,,False,False,6742.0,3817.0,Malone Stadium,2433,Louisiana Monroe,Sun Belt,9,[],,2534,Sam Houston State,,20,[],,
46,212442305,2001,2,regular,2001-09-01T19:00:00.000Z,,False,False,37500.0,3833.0,Memorial Stadium,2305,Kansas,Big 12,24,"[7, 14, 0, 3]",,2623,Missouri State,,10,"[0, 10, 0, 0]",,
47,212440245,2001,2,regular,2001-09-01T19:00:00.000Z,,False,False,70656.0,3795.0,Kyle Field,245,Texas A&M,Big 12,38,"[0, 10, 14, 14]",,2377,McNeese,,24,"[9, 7, 8, 0]",,
